country_name,capital,latitude,longitude
VIETNAM,Hanoi,21.0285,105.8542
GERMANY,Berlin,52.5200,13.4050
SAUDI ARABIA,Riyadh,24.7136,46.6753
INDIA,New Delhi,28.6139,77.2090
UNITED STATES,Washington D.C.,38.8977,-77.0365
BRAZIL,Brasília,-15.7975,-47.8919
ALGERIA,Algiers,36.7538,3.0588
MOROCCO,Rabat,34.0209,-6.8416
ETHIOPIA,Addis Ababa,9.0320,38.7492
EGYPT,Cairo,30.0444,31.2357
IRAN,Tehran,35.6892,51.3890
JAPAN,Tokyo,35.6762,139.6503
ARGENTINA,Buenos Aires,-34.6037,-58.3816
CHINA,Beijing,39.9042,116.4074
MOZAMBIQUE,Maputo,-25.9692,32.5732
FRANCE,Paris,48.8566,2.3522
ROMANIA,Bucharest,44.4268,26.1025
INDONESIA,Jakarta,-6.2088,106.8456
IRAQ,Baghdad,33.3152,44.3661
UNITED KINGDOM,London,51.5074,-0.1278
JORDAN,Amman,31.9454,35.9284
PERU,Lima,-12.0464,-77.0428
CANADA,Ottawa,45.4215,-75.6972
RUSSIA,Moscow,55.7558,37.6173
KENYA,Nairobi,-1.2921,36.8219
